beruf,bl,bundesland,trend_3y,trend_window,share_label,count_year,count_latest,group_id,beruf_id
Kultur- und EventmanagerIn,AT31,Oberösterreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,124.0,285,1192
Kultur- und EventmanagerIn,AT32,Salzburg,tendenziell,2026-2028,30% - geringer Anteil,2025.0,179.0,285,1192
Kultur- und EventmanagerIn,AT33,Tirol,tendenziell,2026-2028,30% - geringer Anteil,2025.0,117.0,285,1192
Kultur- und EventmanagerIn,AT34,Vorarlberg,tendenziell,2026-2028,30% - geringer Anteil,2025.0,55.0,285,1192
Operations ManagerIn,AT,Österreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,1368.0,285,1296
Operations ManagerIn,AT11,Burgenland,tendenziell,2026-2028,30% - geringer Anteil,2025.0,22.0,285,1296
Operations ManagerIn,AT12,Niederösterreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,154.0,285,1296
Operations ManagerIn,AT13,Wien,tendenziell,2026-2028,30% - geringer Anteil,2025.0,416.0,285,1296
Operations ManagerIn,AT21,Kärnten,tendenziell,2026-2028,0% - sehr geringer Anteil,2025.0,34.0,285,1296
Operations ManagerIn,AT22,Steiermark,tendenziell,2026-2028,30% - geringer Anteil,2025.0,91.0,285,1296
Operations ManagerIn,AT31,Oberösterreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,201.0,285,1296
Operations ManagerIn,AT32,Salzburg,tendenziell,2026-2028,30% - geringer Anteil,2025.0,133.0,285,1296
Operations ManagerIn,AT33,Tirol,tendenziell,2026-2028,30% - geringer Anteil,2025.0,121.0,285,1296
Operations ManagerIn,AT34,Vorarlberg,tendenziell,2026-2028,30% - geringer Anteil,2025.0,73.0,285,1296
ProjektassistentIn,AT,Österreich,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,824.0,285,1242
ProjektassistentIn,AT11,Burgenland,gleichbleibend,2026-2028,30% - geringer Anteil,,,285,1242
ProjektassistentIn,AT12,Niederösterreich,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,82.0,285,1242
ProjektassistentIn,AT13,Wien,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,243.0,285,1242
ProjektassistentIn,AT21,Kärnten,gleichbleibend,2026-2028,0% - sehr geringer Anteil,2025.0,28.0,285,1242
ProjektassistentIn,AT22,Steiermark,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,110.0,285,1242
