posting_uid,title,title_clean,role_family,normalized_title,role_rule,source
eures:MTczNTA2NzQgNDM,Biomedizinische:r Analytiker:in (m/w/d),biomedizinische : r analytiker,out_of_scope,,biomedizinisch,eures
karriere:7866718,Senior Site Manager Data Center (m/w/d),senior site manager data center,out_of_scope,,data ?cent(?:er|re),karriere
linkedin:4465715252,Junior Consultant (m/w/d) | KI- & Digitalprojekte | Wien,junior consultant ki & digitalprojekte,out_of_scope,,no_rule_matched,linkedin
linkedin:4461965328,Spezialist:in Digitale Kommunikation & KI Sichtbarkeit,spezialist digitale kommunikation & ki sichtbarkeit,out_of_scope,,no_rule_matched,linkedin
karriere:10030908,Junior IT-Security Analyst:in (m/w/d),junior it security analyst,out_of_scope,,\bsecurity\b|\bsicherheit|\bcyber|\bsoc\b|\bthreat\b|penetration,karriere
eures:MTczMDQ4OTAgNDM,"Master Thesis ""Bi-Static Sensing of UAVs"" - JOB ID: 269595",master thesis bi static sensing of uavs job id : 269595,out_of_scope,,master thesis|bachelor thesis|masterarbeit|bachelorarbeit|diplomarbeit|\bthesis\b,eures
eures:MTczMzkyMTggNDM,Biomedizinische:r Analytiker:in (m/w/d),biomedizinische : r analytiker,out_of_scope,,biomedizinisch,eures
eures:MTcyOTI4NDYgNDM,Mitarbeiter_in Analysis,mitarbeiter analysis,out_of_scope,,no_rule_matched,eures
eures:MTcyMzY5NzIgNDM,Biomedizinische_r Analytiker_in (m/w/d),biomedizinische_r analytiker,out_of_scope,,biomedizinisch,eures
karriere:7846214,Terminplaner:in für Datacenter (all genders),terminplaner für datacenter,out_of_scope,,data ?cent(?:er|re),karriere
karriere:10032419,IT-ProjektmanagerIn / IT-SpezialistIn Daten & Anwendungen Service & IT (m/w/d),it projektmanagerin / it spezialistin daten & anwendungen service & it,out_of_scope,,\bit[- ]projekt,karriere
eures:MTczMjgwMjMgNDM,Werkstudent_in für interne KI-Tool Entwicklung und Automatisierung,werkstudent für interne ki tool entwicklung und automatisierung,out_of_scope,,no_rule_matched,eures
linkedin:4436353240,Principal Embedded Security Vulnerability Analyst (m/f/d),principal embedded security vulnerability analyst,out_of_scope,,\bsecurity\b|\bsicherheit|\bcyber|\bsoc\b|\bthreat\b|penetration,linkedin
karriere:10029958,Senior KI-Enabler:in,senior ki enabler,out_of_scope,,no_rule_matched,karriere
