company_norm,postings,families,states,styria,graz_area,is_agency,sources,example_company
neunerhaus - hilfe für obdachlose menschen,1,data_analytics,Wien,0,0,False,jobsat,neunerhaus - Hilfe für obdachlose Menschen
netcup,1,bi,Kärnten,0,0,False,linkedin,netcup
n8n,1,data_analytics,,0,0,False,linkedin,n8n
msg plaut,1,data_engineering,Wien,0,0,False,linkedin,msg Plaut Austria GmbH
msg insurance suite,1,data_science,Wien,0,0,False,linkedin,msg.Insurance Suite
mpreis,1,data_analytics,Tirol,0,0,False,linkedin,MPREIS
miba,1,data_engineering,Oberösterreich,0,0,False,jobsat,Miba AG
meusburger georg,1,bi,Vorarlberg,0,0,False,linkedin,Meusburger Georg GmbH & Co KG
merkur versicherung,1,data_science,Steiermark,1,1,False,jobsat,Merkur Versicherung AG
dis,1,business_analysis,Wien,0,0,True,linkedin,DIS AG
circly,1,data_science,Wien,0,0,False,linkedin,Circly GmbH
cbs unternehmensberatung,1,bi,Wien,0,0,False,karriere,cbs Unternehmensberatung Austria GmbH
canva,1,data_engineering,Wien,0,0,False,linkedin,Canva
bösch,1,data_governance,Vorarlberg,0,0,False,linkedin,bösch
bybit,1,data_governance,Wien,0,0,False,linkedin,Bybit EU
btv vier länder bank,1,data_engineering,Tirol,0,0,False,linkedin,BTV Vier Länder Bank
brau union,1,data_analytics,Oberösterreich,0,0,False,karriere,Brau Union Österreich AG
bookingbird io,1,data_science,,0,0,False,linkedin,bookingbird.io
philip morris,1,data_analytics,Wien,0,0,False,linkedin,Philip Morris International
pfeifer,1,data_governance,Tirol,0,0,False,willhaben,Pfeifer Holding GmbH
pertemps erp part of network emea,1,bi,Wien,0,0,False,linkedin,Pertemps ERP (part of Network EMEA)
personalservice plus,1,data_analytics,Steiermark,1,1,True,eures,Personalservice Plus
pensionsversicherung,1,data_engineering,Wien,0,0,False,karriere,Pensionsversicherung
partner bank,1,data_engineering,Oberösterreich,0,0,False,jobsat,PARTNER BANK AG
p how,1,data_science,Wien,0,0,False,karriere,p.how GmbH
otago online consulting,1,bi,Wien,0,0,False,linkedin,Otago Online Consulting GmbH
radancy,1,data_science,Wien,0,0,False,linkedin,Radancy
quehenberger logistics,1,data_analytics,Salzburg,0,0,False,karriere,Quehenberger Logistics
prosiebensat 1 puls 4,1,data_science,Wien,0,0,False,karriere,ProSiebenSat.1 PULS 4
professionals4you,1,data_governance,Steiermark,1,1,False,willhaben,Professionals4you
pro pet heimtiernahrung,1,data_governance,Niederösterreich,0,0,False,linkedin,PRO PET AUSTRIA Heimtiernahrung GmbH
prewave,1,data_science,Wien,0,0,False,linkedin,Prewave
premiqamed management services,1,data_engineering,Wien,0,0,False,jobsat,PremiQaMed Management Services
prefa aluminiumprodukte,1,data_science,Niederösterreich,0,0,False,eures,PREFA Aluminiumprodukte
post business solutions,1,data_science,Wien,0,0,False,eures,Post Business Solutions
porsche,1,data_governance,Salzburg,0,0,False,linkedin,Porsche Holding
plansee functions,1,data_science,Tirol,0,0,False,karriere,Plansee Group Functions Austria GmbH
plansee,1,data_science,Tirol,0,0,False,linkedin,Plansee Group
pinus team managementgesellschaft mbh,1,marketing_analytics,Salzburg,0,0,False,eures,Pinus Team Managementgesellschaft mbH
phoron - go live and beyond,1,bi,Wien,0,0,False,linkedin,Phoron - go live and beyond
cms electronics,1,data_engineering,Kärnten,0,0,False,linkedin,cms electronics group
cloudera,1,data_science,,0,0,False,linkedin,Cloudera
rsm,1,business_analysis,Wien,0,0,False,karriere,RSM Austria
rosendahl nextrom,1,data_governance,Steiermark,1,1,False,karriere,Rosendahl Nextrom GmbH
rosenberger telematics,1,business_analysis,Oberösterreich,0,0,False,eures,Rosenberger Telematics
rosenbauer,1,data_analytics,Oberösterreich,0,0,False,eures,Rosenbauer International AG
rise - research industrial systems engineering,1,business_analysis,Wien,0,0,False,linkedin,RISE - Research Industrial Systems Engineering
richter pharma,1,data_analytics,Oberösterreich,0,0,False,jobsat,Richter Pharma AG
research industrial systems engineering rise forschungs- entwicklungs- und großprojektberatung,1,business_analysis,Wien,0,0,False,karriere,"Research Industrial Systems Engineering (RISE) Forschungs-, Entwicklungs- und Großprojektberatung GmbH"
reppublika research & analytics,1,bi,Wien,0,0,False,linkedin,Reppublika Research & Analytics
reploid,1,data_science,Oberösterreich,0,0,False,linkedin,REPLOID
reform-werke bauer & co gesellschaft m b h,1,data_governance,Oberösterreich,0,0,False,karriere,Reform-Werke Bauer & Co Gesellschaft m.b.H.
red bull media house,1,data_science,Salzburg,0,0,False,karriere,Red Bull Media House
raiffeisenlandesbank oberösterreich,1,data_analytics,Oberösterreich,0,0,False,jobsat,Raiffeisenlandesbank Oberösterreich AG
raiffeisen vorarlberg,1,data_analytics,Vorarlberg,0,0,False,linkedin,Raiffeisen Vorarlberg
raiffeisen it,1,data_science,Wien,0,0,False,linkedin,Raiffeisen Group IT GmbH
raiffeisen digital bank,1,data_analytics,Wien,0,0,False,linkedin,Raiffeisen Digital Bank
raiffeisen bank,1,data_science,Wien,0,0,False,karriere,Raiffeisen Bank International AG
biogast,1,data_governance,Wien,0,0,False,eures,Biogast
billa,1,data_analytics,Niederösterreich,0,0,False,linkedin,BILLA AG
beko solutions,1,data_engineering,Oberösterreich,0,0,False,linkedin,BEKO Solutions GmbH
bechtle,1,data_analytics,Oberösterreich,0,0,False,linkedin,Bechtle
bbmri-eric,1,data_governance,Steiermark,1,1,False,linkedin,BBMRI-ERIC
